rok;wojewodztwo;powiat;gmina;teryt
2015;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2015;kujawsko-pomorskie;aleksandrowski;koneck;40106
2015;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
1999;lubelskie;bialski;wisznice;60118
1999;lubelskie;bialski;międzyrzec podlaski;60101
1999;lubelskie;bialski;terespol;60102
1999;lubelskie;bialski;biała podlaska;60103
1999;lubelskie;bialski;drelów;60104
1999;lubelskie;bialski;janów podlaski;60105
1999;lubelskie;bialski;kodeń;60106
1999;lubelskie;bialski;konstantynów;60107
1999;lubelskie;bialski;leśna podlaska;60108
1999;lubelskie;bialski;łomazy;60109
1999;lubelskie;bialski;międzyrzec podlaski;60110
1999;lubelskie;bialski;piszczac;60111
1999;lubelskie;bialski;rokitno;60112
1999;lubelskie;bialski;rossosz;60113
1999;lubelskie;bialski;sławatycze;60114
1999;lubelskie;bialski;sosnówka;60115
1999;lubelskie;bialski;terespol;60116
1999;lubelskie;bialski;tuczna;60117
1999;lubelskie;bialski;zalesie;60119
2000;lubelskie;bialski;rokitno;60112
2000;lubelskie;bialski;rossosz;60113
2000;lubelskie;bialski;sławatycze;60114
2000;lubelskie;bialski;międzyrzec podlaski;60101
2000;lubelskie;bialski;sosnówka;60115
2000;lubelskie;bialski;terespol;60116
2000;lubelskie;bialski;tuczna;60117
2000;lubelskie;bialski;wisznice;60118
2000;lubelskie;bialski;zalesie;60119
2000;lubelskie;bialski;terespol;60102
2000;lubelskie;bialski;biała podlaska;60103
2000;lubelskie;bialski;drelów;60104
2000;lubelskie;bialski;janów podlaski;60105
2000;lubelskie;bialski;kodeń;60106
2000;lubelskie;bialski;konstantynów;60107
2000;lubelskie;bialski;leśna podlaska;60108
2000;lubelskie;bialski;łomazy;60109
2000;lubelskie;bialski;międzyrzec podlaski;60110
2000;lubelskie;bialski;piszczac;60111
2001;lubelskie;bialski;sosnówka;60115
2001;lubelskie;bialski;piszczac;60111
2001;lubelskie;bialski;międzyrzec podlaski;60110
2001;lubelskie;bialski;łomazy;60109
2001;lubelskie;bialski;leśna podlaska;60108
2001;lubelskie;bialski;konstantynów;60107
2001;lubelskie;bialski;kodeń;60106
2001;lubelskie;bialski;janów podlaski;60105
2001;lubelskie;bialski;rokitno;60112
2001;lubelskie;bialski;rossosz;60113
2001;lubelskie;bialski;drelów;60104
2001;lubelskie;bialski;biała podlaska;60103
2001;lubelskie;bialski;terespol;60102
2001;lubelskie;bialski;międzyrzec podlaski;60101
2001;lubelskie;bialski;zalesie;60119
2001;lubelskie;bialski;sławatycze;60114
2001;lubelskie;bialski;wisznice;60118
2001;lubelskie;bialski;tuczna;60117
